City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,tombouctou,ML,20.0,-3.0,88.14,11,0,11.25,clear sky
83,yurino,RU,56.2942,46.3039,38.26,97,100,10.83,light rain
84,gerash,IR,27.6652,54.1371,73.54,18,3,2.64,clear sky
85,port alfred,ZA,-33.5906,26.891,70.21,85,99,14.74,overcast clouds
86,butaritari,KI,3.0707,172.7902,81.16,69,45,17.05,scattered clouds
87,pyapon,MM,16.2833,95.6833,75.92,82,14,5.23,few clouds
88,opunake,NZ,-39.4556,173.8583,62.11,95,100,19.33,light rain
89,ambilobe,MG,-13.2,49.05,76.5,75,76,2.24,light rain
90,teya,RU,60.3778,92.6267,24.67,83,98,8.43,overcast clouds
91,atuona,PF,-9.8,-139.0333,77.11,72,2,15.5,clear sky
92,puerto carreno,CO,6.189,-67.4859,87.49,64,100,1.45,overcast clouds
93,meulaboh,ID,4.1363,96.1285,76.8,90,100,4.74,overcast clouds
94,hithadhoo,MV,-0.6,73.0833,78.12,90,100,16.67,overcast clouds
95,shenjiamen,CN,29.9576,122.298,67.24,76,51,9.51,broken clouds
96,hami,CN,42.8,93.45,43.09,29,0,11.36,clear sky
97,pacific grove,US,36.6177,-121.9166,61.41,83,0,5.99,clear sky
98,nikolskoye,RU,59.7035,30.7861,54.91,86,100,14.07,overcast clouds
99,torbay,CA,47.6666,-52.7314,53.28,59,20,23.02,few clouds
100,yellowknife,CA,62.456,-114.3525,25.32,86,75,12.66,light snow
101,sarkand,KZ,45.41,79.9186,40.75,45,91,7.11,overcast clouds
102,saldanha,ZA,-33.0117,17.9442,62.13,85,100,19.04,overcast clouds
103,nizhniy chir,RU,48.3597,43.0865,46.26,73,98,8.81,overcast clouds
104,carnarvon,AU,-24.8667,113.6333,66.11,67,74,23.98,broken clouds
105,mayumba,GA,-3.432,10.6554,78.64,83,55,6.26,broken clouds
106,pawayan,IN,28.0667,80.1,70.02,63,1,3.91,clear sky
107,diu,IN,20.7141,70.9822,77.31,57,0,4.41,clear sky
