City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,noumea,NC,22-10-29 00:02:12,-22.2763,166.4572,84.18,71,9,7.05
1,taos,US,22-10-29 00:04:02,36.4072,-105.5731,54.0,26,0,0.0
2,paamiut,GL,22-10-29 00:02:59,61.994,-49.6678,33.93,85,100,23.13
3,houma,US,22-10-28 23:59:48,29.5958,-90.7195,68.0,93,0,11.5
4,ponta do sol,PT,22-10-29 00:04:02,32.6667,-17.1,72.01,82,16,5.53
5,abeche,TD,22-10-29 00:09:13,13.8292,20.8324,78.31,18,87,8.34
6,shimoda,JP,22-10-29 00:09:13,34.6667,138.95,65.1,61,6,7.2
7,constitucion,CL,22-10-29 00:10:10,-35.3333,-72.4167,54.79,93,96,3.47
8,torbay,CA,22-10-29 00:11:51,47.6666,-52.7314,45.75,60,3,7.0
9,shiraz,IR,22-10-29 00:09:14,29.6036,52.5388,51.24,54,0,0.0
10,port elizabeth,ZA,22-10-29 00:09:14,-33.918,25.5701,64.09,89,93,8.01
11,bredasdorp,ZA,22-10-29 00:06:56,-34.5322,20.0403,60.96,81,99,10.98
12,albany,US,22-10-29 00:05:18,42.6001,-73.9662,43.34,69,99,0.87
13,punta arenas,CL,22-10-29 00:07:42,-53.15,-70.9167,39.31,87,40,24.16
14,kondinskoye,RU,22-10-29 00:11:52,59.6481,67.41,22.91,95,68,3.71
15,honavar,IN,22-10-29 00:11:53,14.2833,74.45,77.14,69,86,4.09
16,hermanus,ZA,22-10-29 00:03:04,-34.4187,19.2345,61.81,82,93,14.0
17,narsaq,GL,22-10-29 00:03:05,60.9167,-46.05,37.62,99,100,10.22
18,atuona,PF,22-10-29 00:03:05,-9.8,-139.0333,76.8,75,10,18.43
19,salalah,OM,22-10-29 00:03:06,17.0151,54.0924,74.12,65,0,2.51
20,airai,TL,22-10-29 00:03:06,-8.9266,125.4092,70.25,64,90,0.96
21,jamestown,US,22-10-29 00:03:07,42.097,-79.2353,49.64,46,0,3.44
22,vaitape,PF,22-10-29 00:03:07,-16.5167,-151.75,78.75,78,23,8.84
23,vostok,RU,22-10-29 00:03:08,46.4856,135.8833,33.42,78,74,2.8
24,mataura,NZ,22-10-29 00:03:08,-46.1927,168.8643,74.08,46,74,3.18
25,vondrozo,MG,22-10-29 00:03:08,-22.8167,47.2833,63.79,95,93,0.45
26,port alfred,ZA,22-10-29 00:03:09,-33.5906,26.891,62.19,86,98,5.01
27,qaanaaq,GL,22-10-29 00:03:09,77.484,-69.3632,-2.67,71,17,8.19
28,sao joao da barra,BR,22-10-29 00:03:10,-21.6403,-41.0511,75.27,87,82,8.12
29,provideniya,RU,22-10-29 00:03:10,64.3833,-173.3,18.25,74,49,6.44
30,alice springs,AU,22-10-29 00:03:11,-23.7,133.8833,88.21,40,40,9.22
31,esperance,AU,22-10-29 00:03:11,-33.8667,121.9,60.26,64,38,14.27
32,ribeira grande,PT,22-10-29 00:03:12,38.5167,-28.7,58.77,66,0,7.0
33,sao raimundo nonato,BR,22-10-29 00:03:12,-9.0153,-42.6994,81.1,53,52,3.98
34,hilo,US,22-10-29 00:01:49,19.7297,-155.09,84.25,78,5,3.0
35,birao,CF,22-10-29 00:03:12,10.2849,22.7882,74.01,37,100,3.29
36,yellowknife,CA,22-10-29 00:03:13,62.456,-114.3525,13.77,95,90,4.88
37,ushuaia,AR,22-10-29 00:00:38,-54.8,-68.3,29.57,92,73,2.64
38,dillon,US,22-10-29 00:03:15,34.4166,-79.3712,68.25,79,100,7.99
39,ancud,CL,22-10-29 00:03:16,-41.8697,-73.8203,47.46,84,100,12.53
40,kapaa,US,22-10-29 00:00:50,22.0752,-159.319,87.78,70,7,7.0
41,fairbanks,US,22-10-29 00:03:17,64.8378,-147.7164,17.6,79,92,1.01
42,lebu,CL,22-10-29 00:02:52,-37.6167,-73.65,54.79,96,100,5.46
43,russell,US,22-10-29 00:00:58,32.3502,-85.1999,69.19,62,100,7.99
44,busselton,AU,22-10-29 00:00:35,-33.65,115.3333,53.67,74,100,12.82
45,kruisfontein,ZA,22-10-29 00:03:18,-34.0033,24.7314,61.88,80,93,14.74
46,avarua,CK,22-10-29 00:03:18,-21.2078,-159.775,77.05,69,75,19.57
47,juegang,CN,22-10-29 00:05:09,32.3174,121.1855,62.91,64,65,10.69
48,santa marta,CO,22-10-29 00:05:09,11.2408,-74.199,83.89,72,38,5.01
49,hithadhoo,MV,22-10-29 00:11:19,-0.6,73.0833,81.61,79,98,19.57
50,eureka,US,22-10-29 00:12:57,40.8021,-124.1637,66.74,72,99,1.99
51,vuktyl,RU,22-10-29 00:11:20,63.8567,57.3094,26.06,95,98,9.06
52,vao,NC,22-10-29 00:12:57,-22.6667,167.4833,75.67,84,4,11.88
53,pevek,RU,22-10-29 00:12:57,69.7008,170.3133,6.08,93,100,5.14
54,brae,GB,22-10-29 00:12:58,60.3964,-1.353,52.88,88,63,22.97
55,filadelfia,US,22-10-29 00:10:26,39.9523,-75.1638,52.36,73,75,6.91
56,emporia,US,22-10-29 00:12:58,38.4039,-96.1817,61.0,33,0,5.75
57,rancho palos verdes,US,22-10-29 00:05:12,33.7445,-118.387,75.92,79,75,12.66
58,santa cruz de tenerife,ES,22-10-29 00:00:29,28.4682,-16.2546,75.88,47,0,10.36
59,castro,BR,22-10-29 00:05:13,-24.7911,-50.0119,65.41,80,30,2.95
60,butaritari,KI,22-10-29 00:05:13,3.0707,172.7902,81.68,72,41,15.68
